i,comhash,comhash0
0,1,5786
1,39860,5669
2,16,5853
3,491,5855
4,531,5784
5,18216,5820
6,31,5733
7,2,5638
8,451,5761
9,10301,5754
10,262,5734
11,16,5904
12,399,5877
13,39,5801
14,12,5876
15,56661,5898
16,9,5712
17,17254,5744
18,165,5902
19,178,5851
20,1472,5828
21,3114,5768
22,101,5732
23,47,5842
24,57,5598
25,1172,5809
26,938,5867
27,390,5927
28,4752,5862
29,986,5926
30,1450,5925
31,18988,5946
32,70,5818
33,68181,5797
34,9751,5780
35,79940,5820
36,882,5738
37,2795,5666
38,387,5775
39,736,5782
40,133,5876
41,7952,5721
42,6410,5819
43,167,5864
44,0,5738
45,1,5823
46,1406,5773
47,11068,5925
48,0,5840
49,5997,6074
50,97,5777
51,6293,5902
52,296,5713
53,802,5806
54,29,5724
55,32,5807
56,41,5759
57,573,5771
58,197,5850
59,24,5868
60,530,5838
61,71,5873
62,2582,5747
63,3063,5672
64,20,5979
65,10723,5921
66,14539,5920
67,51918,5999
68,236,6017
69,857,5849
70,154,5808
71,205,5675
72,23,5892
73,1966,22889
74,1884,5721
75,2,5656
76,179,5656
77,33,5721
78,267,5782
79,26072,5781
80,197,5962
81,8117,5868
82,290,5892
83,253,5751
84,757,5949
85,208,5816
86,106,5874
87,321,5823
88,86,5603
89,521,5837
90,18,5702
91,574,5751
92,6655,5797
93,4684,5820
94,6036,5589
95,16144,5849
96,20,5769
97,95569,5768
98,4097,5812
99,25219,5863
100,573,5677
101,3848,5763
102,63,5888
103,383,5777
104,410,5847
105,4269,5940
106,4154,5761
107,63,5887
108,39,5866
109,29,5914
110,159,5693
111,32937,5655
112,9,5783
113,24049,5947
114,68,5834
115,225,5753
116,1630,5917
117,1941,5912
118,0,5857
119,0,5850
120,1547,5726
121,5309,5907
122,80,5854
123,993,5968
124,15,5816
125,0,5762
126,2,5851
127,10648,5777
