i,comhash,comhash0
0,24,690
1,2373,735
2,382,715
3,1386,712
4,147,679
5,302,711
6,117,694
7,1287,684
8,17,619
9,2377,666
10,323,686
11,1351,692
12,161,695
13,301,691
14,103,666
15,1207,674
16,31,681
17,2511,672
18,349,677
19,1275,638
20,136,630
21,301,635
22,111,652
23,1265,600
24,20,610
25,2420,651
26,347,646
27,1312,611
28,152,654
29,318,647
30,111,632
31,1278,614
32,30,659
33,2446,657
34,366,589
35,1285,572
36,179,595
37,286,599
38,102,642
39,1319,617
40,35,561
41,2461,636
42,364,594
43,1399,641
44,123,626
45,302,618
46,114,630
47,1268,605
48,23,619
49,2476,581
50,320,615
51,1361,642
52,152,646
53,293,629
54,95,632
55,1196,667
56,29,661
57,2443,692
58,299,645
59,1283,635
60,150,661
61,301,630
62,108,649
63,1294,649
64,22,656
65,2328,638
66,296,686
67,1389,636
68,141,704
69,288,689
70,103,584
71,1247,705
72,15,618
73,2462,633
74,336,634
75,1329,693
76,136,672
77,350,613
78,120,680
79,1237,651
80,28,601
81,2449,666
82,346,642
83,1339,681
84,161,648
85,326,616
86,125,657
87,1336,658
88,27,648
89,2499,638
90,349,621
91,1364,645
92,153,624
93,335,609
94,91,626
95,1207,640
96,34,633
97,2422,607
98,349,567
99,1389,627
100,135,605
101,302,592
102,88,631
103,1214,629
104,25,645
105,2405,569
106,338,655
107,1268,642
108,165,596
109,323,593
110,85,609
111,1284,577
112,26,613
113,2332,618
114,359,611
115,1247,602
116,164,618
117,335,622
118,85,581
119,1207,589
120,31,581
121,2417,637
122,331,610
123,1371,610
124,153,592
125,296,565
126,104,605
127,1298,615
128,27,631
129,2533,603
130,369,626
131,1377,645
132,165,632
133,292,620
134,91,606
135,1279,594
136,19,622
137,2626,626
138,355,591
139,1269,586
140,166,565
141,306,625
142,89,612
143,1318,642
144,19,570
145,2358,587
146,314,620
147,1342,654
148,166,597
149,321,613
150,92,595
151,1257,618
152,22,649
153,2455,635
154,318,614
155,1330,619
156,134,609
157,299,643
158,110,639
159,1183,628
160,23,604
161,2457,549
162,343,629
163,1360,612
164,149,590
165,317,618
166,117,593
167,1262,608
168,21,653
169,2581,618
170,363,632
171,1318,569
172,140,578
173,329,605
174,102,612
175,1263,600
176,31,579
177,2298,629
178,363,615
179,1352,580
180,169,561
181,298,600
182,107,632
183,1330,569
184,12,625
185,2336,629
186,315,619
187,1317,575
188,169,587
189,298,604
190,110,576
191,1288,623
192,27,605
193,2422,615
194,354,578
195,1341,591
196,125,618
197,288,620
198,90,630
199,1277,590
200,22,577
201,2403,647
202,331,615
203,1323,649
204,158,589
205,302,591
206,102,554
207,1307,568
208,28,583
209,2237,570
210,312,585
211,1335,603
212,145,564
213,323,566
214,99,564
215,1297,581
216,22,586
217,2314,589
218,339,593
219,1359,587
220,168,564
221,282,547
222,124,591
223,1265,568
224,29,554
225,2416,591
226,330,572
227,1371,550
228,149,587
229,283,599
230,103,586
231,1295,596
232,16,604
233,2440,577
234,353,617
235,1403,572
236,151,547
237,303,603
238,112,544
239,1220,599
240,21,592
241,2396,604
242,366,591
243,1308,637
244,159,559
245,290,609
246,110,545
247,1187,671
248,32,671
249,2421,627
250,356,588
251,1328,610
252,159,660
253,306,571
254,107,677
255,1361,649
256,36,642
257,2261,709
258,394,567
259,1345,620
260,152,691
261,328,662
262,101,670
263,1274,646
264,23,686
265,2445,662
266,334,685
267,1373,615
268,159,649
269,249,691
270,95,671
271,1237,685
272,22,584
273,2324,690
274,332,678
275,1316,626
276,159,622
277,301,630
278,96,684
279,1314,690
280,31,667
281,2370,669
282,327,661
283,1392,622
284,172,600
285,276,611
286,93,629
287,1372,626
288,29,675
289,2362,634
290,345,622
291,1353,678
292,192,611
293,289,640
294,97,587
295,1283,645
296,16,628
297,2443,615
298,317,545
299,1312,648
300,129,577
301,300,577
302,112,616
303,1289,574
304,21,587
305,2415,633
306,316,575
307,1303,606
308,138,596
309,322,598
310,84,651
311,1261,573
312,24,575
313,2429,575
314,352,626
315,1408,673
316,160,575
317,284,663
318,95,696
319,1341,657
320,26,684
321,2375,614
322,366,641
323,1329,667
324,138,728
325,290,671
326,96,665
327,1274,675
328,29,663
329,2399,680
330,329,752
331,1396,777
332,133,761
333,300,712
334,88,755
335,1261,773
336,27,726
337,2395,693
338,362,696
339,1370,767
340,165,857
341,297,768
342,107,758
343,1328,723
344,21,779
345,2421,794
346,387,834
347,1352,839
348,153,733
349,317,718
350,91,739
351,1294,793
352,22,783
353,2397,794
354,332,697
355,1349,762
356,174,723
357,304,730
358,92,741
359,1258,710
360,24,780
361,2478,712
362,334,753
363,1317,729
364,134,690
365,303,744
366,102,696
367,1189,717
368,29,664
369,2413,699
370,369,688
371,1337,648
372,145,705
373,276,613
374,88,656
375,1341,651
376,30,665
377,2456,729
378,329,661
379,1392,670
380,148,662
381,274,687
382,109,643
383,1342,692
384,22,666
385,2339,671
