i,comhash,comhash0
523,14,856
524,289,887
525,32,900
526,3,917
527,6503,876
528,8,878
529,14404,843
530,19,862
531,75,947
532,73,977
533,309,849
534,0,900
535,0,990
536,0,930
537,330,1023
538,61,957
539,0,1007
540,6,1071
541,95,1098
542,0,1019
543,435,1028
544,35,951
545,7928,998
546,0,933
547,59,1012
548,205,976
549,479,980
550,0,987
551,690,977
552,1,1030
553,5498,968
554,7,988
555,157,957
556,0,914
557,1,985
558,1391,995
559,10138,1008
560,0,888
561,6,998
562,0,923
563,6218,906
564,118,926
565,10,921
566,1,872
567,2,844
568,0,898
569,55,917
570,188,840
571,0,849
572,150,854
573,0,851
574,327,770
575,1,854
576,7,975
577,144,893
578,13898,845
579,4168,891
580,35,837
581,256,910
582,28,850
583,0,833
584,8,890
585,31,803
586,3,769
587,0,793
588,2,786
589,0,843
590,0,841
591,108,802
592,157,867
593,2,800
594,7,828
595,42,839
596,97,791
597,35,901
598,26,876
599,6,849
600,39,843
601,106,860
602,7,855
603,114,930
604,3111,936
605,127,955
606,605,881
607,1939,913
608,1,913
609,70414,931
610,442,896
611,1335,921
612,272,940
613,1423,917
614,6,968
615,358,914
616,4,1010
617,2176,941
618,1291,897
619,44,995
620,26,957
621,15,996
622,35,944
623,17146,941
624,9,947
625,9930,1005
626,18,951
627,174,1016
628,1536,1004
629,547,986
630,0,938
631,0,943
632,81,1003
633,955,925
634,76,934
635,138,983
636,2,943
637,0,926
638,0,904
639,2314,911
640,1,866
641,6071,846
642,6,831
643,286,918
644,111,889
645,4823,902
646,0,869
647,0,824
648,268,868
649,1488,823
650,53,789
651,0,908
652,9,812
653,0,803
654,0,782
655,16357,800
656,0,805
657,2211,753
658,46,872
659,34,779
660,639,768
661,2234,815
662,12,814
663,3,821
664,5,760
665,240,737
666,521,830
667,154,786
668,618,786
669,210,800
670,343,821
671,17255,834
672,0,790
673,2261,821
674,2027,838
675,30434,801
676,205,833
677,1470,783
678,31,859
679,2,833
680,106,798
681,237,767
682,1013,855
683,0,855
684,0,834
685,0,852
686,0,778
687,265,941
688,0,950
689,927,935
690,0,835
691,3,848
692,3,857
693,403,869
694,0,887
695,0,864
696,8,876
697,80,882
698,0,864
699,0,915
700,5,897
701,0,916
702,0,900
703,798,857
704,0,858
705,4296,868
706,0,881
707,44,930
708,0,927
709,41,828
710,0,889
711,0,817
712,0,875
713,24,803
714,1,874
715,0,802
716,0,813
717,1,814
718,0,828
719,3764,802
720,0,844
721,2380,841
722,40,751
723,43,760
724,152,819
725,52,765
726,6,831
727,100,770
728,5,715
729,39,793
730,5,769
731,99,748
732,96,792
733,2635,698
734,995,680
735,2647,766
736,1,708
737,17985,721
738,28,694
739,360,748
740,13,683
741,143,801
742,0,734
743,0,758
744,5,746
745,229,706
746,1658,757
747,0,727
748,0,717
749,0,702
750,0,729
751,210,707
752,0,738
753,62,781
754,0,733
755,0,739
756,0,794
