i,comhash,comhash0
0,0,1446
1,4363,1415
2,8,1461
3,38,1420
4,277,1506
5,984,1510
6,31,1413
7,2,1484
8,9,1520
9,1879,1475
10,0,1431
11,15,1447
12,373,1527
13,39,1504
14,6,1546
15,7069,1471
16,9,1489
17,14611,1439
18,21,1504
19,78,1550
20,95,1647
21,537,1474
22,0,1431
23,0,1628
24,0,1488
25,463,1609
26,110,1534
27,0,1626
28,6,1683
29,108,1644
30,0,1636
31,586,1619
32,40,1509
33,8215,1610
34,0,1520
35,59,1653
36,342,1562
37,951,1586
38,0,1584
39,729,1607
40,1,1627
41,7038,1571
42,7,1571
43,165,1562
44,0,1521
45,1,1586
46,1404,1608
47,10369,1649
48,0,1498
49,687,1617
50,65,1515
51,6258,1571
52,223,1570
53,27,1488
54,4,1521
55,2,1507
56,2,1549
57,118,1534
58,192,1502
59,6,1512
60,299,1483
61,8,1451
62,1091,1404
63,9,1457
64,8,1650
65,160,1546
66,13934,1479
67,5410,1505
68,71,1482
69,287,1560
70,87,1420
71,39,1469
72,15,1506
73,47,1408
74,9,1380
75,0,1389
76,2,1379
77,0,1447
78,0,1477
79,440,1419
80,191,1514
81,2,1391
82,17,1479
83,61,1493
84,177,1430
85,39,1510
86,40,1499
87,47,1463
88,65,1439
89,203,1477
90,8,1414
91,212,1515
92,3891,1491
93,204,1533
94,1143,1474
95,4410,1506
96,3,1475
97,70941,1509
98,1299,1487
99,8257,1529
100,407,1497
101,1891,1481
102,54,1528
103,373,1493
104,9,1603
105,2769,1546
106,1694,1467
107,56,1566
108,27,1541
109,24,1577
110,133,1545
111,17884,1507
112,9,1525
113,18843,1534
114,35,1582
115,181,1569
116,1618,1564
117,848,1604
118,0,1522
119,0,1534
120,122,1580
121,1913,1522
122,77,1535
123,154,1580
124,7,1501
125,0,1503
126,1,1473
127,7402,1498
128,1,1422
129,22737,1423
130,8,1416
131,417,1495
132,151,1405
133,5170,1498
134,0,1430
135,0,1366
136,342,1463
137,2054,1397
138,66,1356
139,0,1502
140,13,1357
141,0,1367
142,0,1337
143,18830,1386
144,0,1402
145,2294,1362
146,66,1432
147,50,1329
148,872,1371
149,2369,1443
150,18,1428
151,9,1412
152,24,1289
153,480,1383
154,560,1445
155,216,1392
156,1824,1362
157,454,1390
158,799,1417
159,17414,1420
160,10,1366
161,2457,1413
162,5553,1440
163,50957,1387
164,398,1406
165,1614,1363
166,89,1413
167,5,1437
168,126,1393
169,688,1353
170,1949,1426
171,0,1416
172,0,1391
173,0,1415
174,0,1376
175,402,1498
176,0,1550
177,936,1568
178,0,1405
179,8,1428
180,3,1412
181,435,1460
182,0,1439
183,0,1422
184,10,1460
185,82,1404
186,0,1435
187,2,1475
188,5,1413
189,0,1467
190,6,1424
191,865,1382
192,0,1400
193,5123,1405
194,0,1441
195,49,1490
196,0,1441
197,96,1336
198,0,1391
199,0,1351
200,0,1433
201,37,1321
202,1,1374
203,0,1284
204,0,1381
205,2,1342
206,0,1396
207,25265,1366
208,0,1374
209,3047,1454
210,71,1273
211,65,1287
212,203,1383
213,90,1317
214,7,1394
215,154,1376
216,11,1285
217,79,1382
218,9,1363
219,145,1341
220,241,1330
221,3913,1303
222,2532,1262
223,3867,1435
224,11,1269
225,18652,1333
226,49,1362
227,811,1375
228,30,1314
229,181,1353
230,1,1412
231,1,1420
232,388,1388
233,269,1356
234,1820,1349
