i,comhash,comhash0
0,843,7466
1,13570,7409
2,2272,7578
3,12890,7406
4,878,7383
5,13386,7398
6,2235,7443
7,13022,7484
8,884,7329
9,13486,7386
10,2167,7355
11,13169,7490
12,903,7431
13,13378,7556
14,2221,7437
15,13031,7381
16,907,7421
17,13494,7486
18,2172,7516
19,12875,7328
20,891,7355
21,13580,7417
22,2314,7429
23,13250,7387
24,887,7437
25,13514,7439
26,2164,7497
27,13070,7455
28,891,7336
29,13679,7427
30,2348,7408
31,13106,7621
32,899,7714
33,13831,7288
34,2283,7529
35,13028,7420
36,950,7261
37,13898,7449
38,2252,7486
39,13001,7342
40,863,7544
41,13570,24627
42,2274,7306
43,13109,7562
44,859,7389
45,13588,7501
46,2212,7375
47,13052,7597
48,867,7518
49,13502,7375
50,2200,7477
51,13018,7528
52,893,7583
53,13676,7492
54,2208,7429
55,13031,7591
56,932,7662
57,13611,7351
58,2243,7377
59,12880,7452
60,893,7511
61,13687,7552
62,2249,7384
63,13083,7423
64,819,7467
65,13510,7605
66,2242,7456
67,30387,7463
68,865,7454
69,13738,7540
70,2221,7372
71,12982,7385
72,797,7215
73,13765,7281
74,2236,7399
75,13206,7476
76,864,7461
77,13407,7449
78,2274,7500
79,13154,7395
80,871,7285
81,13448,7360
82,2197,7555
83,13203,7424
84,853,7190
85,13427,7477
86,2197,7500
87,13214,7410
88,936,7458
89,13607,7518
90,2216,7421
91,13201,7394
92,898,7429
93,13592,7554
94,2228,7303
95,12965,7429
96,877,7485
97,13493,7519
98,2126,7173
99,13126,7473
